action	surface	reading	new_surface	new_reading	allowed_readings	expected_matches	note
KEEP_ONLY	ダッカ襲撃テロ事件				だっかしゅうげきてろじけん	28	検索用の長い別名を厳密変換辞書から除外
KEEP_ONLY	岩手県立花巻南高等学校				いわてけんりつはなまきみなみこうとうがっこう	2	ユーザー指定の完全読みだけを残す
KEEP_ONLY	情報弱者向けビジネス				じょうほうじゃくしゃむけびじねす	2	ユーザー指定の完全読みだけを残す
DELETE	新居	あらいあらい				1	連結誤読を削除
DELETE	厚木	あつぎあつき				1	複数読みの連結を削除
DELETE	野方	のかたのがた				1	複数読みの連結を削除
DELETE	万歳	ばんざあーい				1	過剰な長音表現を削除
DELETE	全部	ぜえーんぶ				1	過剰な長音表現を削除
DELETE	安倍内閣	あべしんぞうないかく				1	人名混入の誤読を削除
DELETE	廿日市市役所前駅	はつかいちしやくしょまえへらえき				1	へら混入の誤読を削除
DELETE	強迫観念	きょうはくてきかんねん				1	表記にない「的」を含む読みを削除
DELETE	本当	ほんっっと				1	過剰な促音表現を削除
DELETE	秋鹿町駅	あいかまちえきえき				1	駅の重複を削除
DELETE	辺野古違法確認訴訟	へのこめぐるいほうかくにんそしょう				1	検索別名的な読みを削除
DELETE	平良	たいらりょう				1	別名要素が連結した読みを削除
DELETE	渡部建	あんじゃっしゅわたなべ				1	所属名と誤った姓読みを含む別名を削除
SPLIT	矢川	やかわやがわ		やかわ|やがわ		1	連結を削除し、やかわ・やがわを別々に残す
SPLIT	月田	つきだつきた		つきだ|つきた		1	連結を削除し、つきだ・つきたを別々に残す
SPLIT	淡路	あわじあはぢ		あわじ|あはぢ		1	連結を削除し、現代仮名・歴史的仮名を別々に残す
SPLIT	駅家	えきかうまや		えきか|うまや		1	連結を削除し、えきか・うまやを別々に残す
MOVE	Android Nougat	あんどろいどしっくすぬがー	Android 7 Nougat	あんどろいどせぶんぬがー		1	Nougatの版数を7として表記と読みを一致
MOVE	引越社	ひっこしぎょうしゃ	引越業者	ひっこしぎょうしゃ		1	業者の読みを対応する表記へ移動
MOVE	炎天下	えんてんかのなか	炎天下の中	えんてんかのなか		1	表記にない「の中」を対応する表記へ移動
MOVE	辺野古違法確認訴訟	へのこいせつのいほうかくにんそしょう	辺野古移設の違法確認訴訟	へのこいせつのいほうかくにんそしょう		1	移設のを含む読みを対応する表記へ移動
MOVE	Android Lollipop	あんどろいどふぁいぶろりぽっぷ	Android 5 Lollipop	あんどろいどふぁいぶろりぽっぷ		1	版数を含む表記へ移動
MOVE	Android Marshmallow	あんどろいどしっくすましゅまろ	Android 6 Marshmallow	あんどろいどしっくすましゅまろ		1	版数を含む表記へ移動
MOVE	Free!	ふりーたいむれすめどれー	Free!-Timeless Medley-	ふりーたいむれすめどれー		1	副題を含む作品表記へ移動
MOVE	GeForce GTX	じーふぉーすじーてぃーえっくすたいたんえっくす	GeForce GTX TITAN X	じーふぉーすじーてぃーえっくすたいたんえっくす		1	TITAN Xを含む製品表記へ移動
MOVE	GeForce GTX	じーふぉーすじーてぃーえっくすたいたんぜっと	GeForce GTX TITAN Z	じーふぉーすじーてぃーえっくすたいたんぜっと		1	TITAN Zを含む製品表記へ移動
MOVE	タレントCM起用社数ランキング	たれんとてれびしーえむきようしゃすうらんきんぐ	タレントテレビCM起用社数ランキング	たれんとてれびしーえむきようしゃすうらんきんぐ		1	テレビを含む表記へ移動
MOVE	御花畑駅	おはなばたけしばざくらえき	御花畑（芝桜）駅	おはなばたけしばざくらえき		1	副駅名を含む表記へ移動
MOVE	接触ICカード	せっしょくがたあいしーかーど	接触型ICカード	せっしょくがたあいしーかーど		1	型を含む表記へ移動
MOVE	接触ICタグ	せっしょくがたあいしーたぐ	接触型ICタグ	せっしょくがたあいしーたぐ		1	型を含む表記へ移動
MOVE	接触ICチップ	せっしょくがたあいしーちっぷ	接触型ICチップ	せっしょくがたあいしーちっぷ		1	型を含む表記へ移動
MOVE	眼窩吹き抜け骨折	がんかていふきぬけこっせつ	眼窩底吹き抜け骨折	がんかていふきぬけこっせつ		1	眼窩底を含む表記へ移動
MOVE	非接触ICタグ	ひせっしょくがたあいしーたぐ	非接触型ICタグ	ひせっしょくがたあいしーたぐ		1	型を含む表記へ移動
MOVE	非接触ICチップ	ひせっしょくがたあいしーちっぷ	非接触型ICチップ	ひせっしょくがたあいしーちっぷ		1	型を含む表記へ移動
MOVE	Jun.K	じゅんけいふろむつーぴーえむ	Jun.K from 2PM	じゅんけいふろむつーぴーえむ		1	所属表現を含む表記へ移動
MOVE	MIKIKO	みきこめたる	MIKIKO-METAL	みきこめたる		1	別名を独立表記へ移動
MOVE	Na-Ga	ながきーびじゅあるあーつ	Na-Ga (Key/VisualArt's)	ながきーびじゅあるあーつ		1	所属を含む表記へ移動
MOVE	PixMob	ぴくすもぶすぱーく	PixMob Spark	ぴくすもぶすぱーく		1	製品名を独立表記へ移動
MOVE	TAIJI	ふじもとたいじ	藤本泰司	ふじもとたいじ		1	本名の表記へ移動
MOVE	コトダマ空間	あいあーるしーことだまくうかん	IRCコトダマ空間	あいあーるしーことだまくうかん		1	IRCを含む表記へ移動
MOVE	シード平和	しーどへいわかぶしきがしゃ	株式会社シード平和	しーどへいわかぶしきがしゃ		1	法人種別を含む表記へ移動
MOVE	不定愁訴	ふていしゅうそしょうこうぐん	不定愁訴症候群	ふていしゅうそしょうこうぐん		1	症候群を含む表記へ移動
MOVE	八ッ橋	かたいやつはし	硬い八ッ橋	かたいやつはし		1	形容を含む表記へ移動
MOVE	南港ポートタウン線	おおさかしこうつうきょくなんこうぽーとたうんせん	大阪市交通局南港ポートタウン線	おおさかしこうつうきょくなんこうぽーとたうんせん		1	運営組織名を含む表記へ移動
MOVE	金剛	せんかんこんごう	戦艦金剛	せんかんこんごう		1	艦種を含む表記へ移動
DELETE	北東アジア非核兵器地帯	ほくとうあじあのひかくへいきちたい				1	表記にない「の」を含む読みを削除
DELETE	核廃絶	かくへいきなきせかい				1	言い換えを厳密読みから削除
DELETE	色彩のみからなる商標	しきさいのとうろくしょうひょう				1	表記にない「登録」を含む読みを削除
DELETE	P!NK	ぴんくびーあいじー				1	別人物名が連結した読みを削除
DELETE	ZIP!	じっぷてぃーゔぃー				1	表記にないTVを含む読みを削除
